t,trans_err,rot_err
286.736,0.000458904,0.000343649
286.756,0.000458904,0.000343649
286.776,0.000458905,0.000343649
286.796,0.000458905,0.000343649
286.816,0.000458905,0.000343649
286.836,0.000458906,0.000343649
286.856,0.000458906,0.000343649
286.876,0.000458907,0.000343649
286.896,0.000458907,0.000343649
286.916,0.000458908,0.000343649
286.936,0.000458908,0.000343649
286.956,0.000458909,0.000343649
286.976,0.000458909,0.000343649
286.996,0.00045891,0.000343649
287.016,0.00045891,0.000343649
287.036,0.00045891,0.000343649
287.056,0.000458911,0.000343649
287.076,0.000458912,0.000343649
287.096,0.000458912,0.000343649
287.116,0.000458913,0.000343649
287.136,0.000458913,0.000343649
287.156,0.000458914,0.000343649
287.176,0.000458914,0.000343649
287.196,0.000458914,0.000343649
287.216,0.000458915,0.000343648
287.236,0.000458915,0.000343648
287.256,0.000458916,0.000343648
287.277,0.000458917,0.000343648
287.296,0.000458917,0.000343648
287.316,0.000458917,0.000343648
287.336,0.000458917,0.000343648
287.356,0.000458918,0.000343648
287.376,0.000458918,0.000343648
287.396,0.000458919,0.000343648
287.416,0.000458919,0.000343648
287.436,0.00045892,0.000343648
287.456,0.000458921,0.000343648
287.476,0.000458921,0.000343648
287.496,0.000458922,0.000343648
287.516,0.000458922,0.000343648
287.536,0.000458923,0.000343648
287.556,0.000458923,0.000343648
287.576,0.000458924,0.000343648
287.596,0.000458924,0.000343648
287.616,0.000458925,0.000343648
287.636,0.000458925,0.000343648
287.656,0.000458925,0.000343648
287.676,0.000458926,0.000343648
287.696,0.000458926,0.000343648
287.716,0.000458927,0.000343648
287.736,0.000458927,0.000343648
287.756,0.000458928,0.000343648
287.776,0.000458928,0.000343648
287.796,0.000458929,0.000343648
287.816,0.00045893,0.000343648
287.836,0.00045893,0.000343648
287.856,0.00045893,0.000343648
287.876,0.00045893,0.000343648
287.896,0.000458932,0.000343648
287.916,0.000458932,0.000343648
287.936,0.000458933,0.000343648
287.956,0.000458933,0.000343648
287.976,0.000458933,0.000343648
287.996,0.000458933,0.000343648
288.016,0.000458934,0.000343648
288.036,0.000458934,0.000343648
288.056,0.000458936,0.000343648
288.076,0.000458936,0.000343648
288.096,0.000458937,0.000343647
288.116,0.000458937,0.000343647
288.136,0.000458937,0.000343647
288.156,0.000458938,0.000343647
288.176,0.000458938,0.000343647
288.196,0.000458939,0.000343647
288.216,0.000458939,0.000343647
288.236,0.00045894,0.000343647
288.256,0.00045894,0.000343647
288.276,0.000458941,0.000343647
288.297,0.000458941,0.000343647
288.317,0.000458942,0.000343647
288.337,0.000458942,0.000343647
288.357,0.000458943,0.000343647
288.377,0.000458944,0.000343647
288.397,0.000458944,0.000343647
288.417,0.000458944,0.000343647
288.437,0.000458945,0.000343647
288.457,0.000458945,0.000343647
288.477,0.000458946,0.000343647
288.497,0.000458946,0.000343647
288.517,0.000458947,0.000343647
288.537,0.000458947,0.000343647
288.557,0.000458947,0.000343647
288.577,0.000458949,0.000343647
288.597,0.000458949,0.000343647
288.617,0.00045895,0.000343647
288.637,0.00045895,0.000343647
288.657,0.00045895,0.000343647
288.677,0.000458951,0.000343647
288.697,0.000458951,0.000343647
288.717,0.000458952,0.000343647
288.737,0.000458953,0.000343647
288.757,0.000458953,0.000343647
288.777,0.000458954,0.000343647
288.797,0.000458954,0.000343647
288.817,0.000458955,0.000343647
288.837,0.000458955,0.000343647
288.857,0.000458956,0.000343647
288.877,0.000458956,0.000343647
288.897,0.000458956,0.000343647
288.917,0.000458957,0.000343647
288.937,0.000458957,0.000343647
288.957,0.000458957,0.000343647
288.977,0.000458959,0.000343647
288.997,0.000458959,0.000343647
289.017,0.00045896,0.000343646
289.037,0.00045896,0.000343646
289.057,0.000458961,0.000343646
289.077,0.000458961,0.000343646
289.097,0.000458962,0.000343646
289.117,0.000458962,0.000343646
289.137,0.000458962,0.000343646
289.157,0.000458964,0.000343646
289.177,0.000458964,0.000343646
289.197,0.000458964,0.000343646
289.217,0.000458965,0.000343646
289.237,0.000458965,0.000343646
289.257,0.000458966,0.000343646
289.277,0.000458966,0.000343646
289.297,0.000458967,0.000343646
289.317,0.000458967,0.000343646
289.337,0.000458968,0.000343646
289.357,0.000458968,0.000343646
289.377,0.000458969,0.000343646
289.397,0.000458969,0.000343646
289.418,0.00045897,0.000343646
