t,x_gt,y_gt,x_est,y_est
286.736,2.11588e-05,-0.000458416,0,0
286.756,2.11675e-05,-0.000458416,0,0
286.776,2.11758e-05,-0.000458416,0,0
286.796,2.1184e-05,-0.000458416,0,0
286.816,2.11844e-05,-0.000458416,0,0
286.836,2.12009e-05,-0.000458416,0,0
286.856,2.12096e-05,-0.000458416,0,0
286.876,2.12183e-05,-0.000458416,0,0
286.896,2.12188e-05,-0.000458416,0,0
286.916,2.12357e-05,-0.000458416,0,0
286.936,2.12362e-05,-0.000458416,0,0
286.956,2.12532e-05,-0.000458416,0,0
286.976,2.12536e-05,-0.000458416,0,0
286.996,2.1278e-05,-0.000458416,0,0
287.016,2.12784e-05,-0.000458416,0,0
287.036,2.12784e-05,-0.000458416,0,0
287.056,2.13028e-05,-0.000458417,0,0
287.076,2.13115e-05,-0.000458417,0,0
287.096,2.1312e-05,-0.000458417,0,0
287.116,2.1329e-05,-0.000458417,0,0
287.136,2.13295e-05,-0.000458417,0,0
287.156,2.13465e-05,-0.000458417,0,0
287.176,2.13548e-05,-0.000458417,0,0
287.196,2.13553e-05,-0.000458417,0,0
287.216,2.13728e-05,-0.000458417,0,0
287.236,2.13728e-05,-0.000458417,0,0
287.256,2.13904e-05,-0.000458417,0,0
287.277,2.1407e-05,-0.000458417,0,0
287.296,2.14154e-05,-0.000458417,0,0
287.316,2.14158e-05,-0.000458417,0,0
287.336,2.14158e-05,-0.000458417,0,0
287.356,2.14408e-05,-0.000458417,0,0
287.376,2.14413e-05,-0.000458417,0,0
287.396,2.14584e-05,-0.000458417,0,0
287.416,2.14589e-05,-0.000458417,0,0
287.436,2.14756e-05,-0.000458418,0,0
287.456,2.14844e-05,-0.000458418,0,0
287.476,2.14848e-05,-0.000458418,0,0
287.496,2.15099e-05,-0.000458418,0,0
287.516,2.15183e-05,-0.000458418,0,0
287.536,2.15192e-05,-0.000458418,0,0
287.556,2.1536e-05,-0.000458418,0,0
287.576,2.15443e-05,-0.000458418,0,0
287.596,2.15448e-05,-0.000458418,0,0
287.616,2.15616e-05,-0.000458418,0,0
287.636,2.15704e-05,-0.000458418,0,0
287.656,2.15704e-05,-0.000458418,0,0
287.676,2.15881e-05,-0.000458418,0,0
287.696,2.15881e-05,-0.000458418,0,0
287.716,2.16054e-05,-0.000458418,0,0
287.736,2.16058e-05,-0.000458418,0,0
287.756,2.16231e-05,-0.000458418,0,0
287.776,2.16236e-05,-0.000458418,0,0
287.796,2.16488e-05,-0.000458418,0,0
287.816,2.16577e-05,-0.000458418,0,0
287.836,2.16661e-05,-0.000458419,0,0
287.856,2.16666e-05,-0.000458419,0,0
287.876,2.16666e-05,-0.000458419,0,0
287.896,2.16919e-05,-0.000458419,0,0
287.916,2.16924e-05,-0.000458419,0,0
287.936,2.17097e-05,-0.000458419,0,0
287.956,2.17102e-05,-0.000458419,0,0
287.976,2.17275e-05,-0.000458419,0,0
287.996,2.1728e-05,-0.000458419,0,0
288.016,2.17454e-05,-0.000458419,0,0
288.036,2.17458e-05,-0.000458419,0,0
288.056,2.17707e-05,-0.000458419,0,0
288.076,2.17717e-05,-0.000458419,0,0
288.096,2.17886e-05,-0.000458419,0,0
288.116,2.17928e-05,-0.000458419,0,0
288.136,2.17928e-05,-0.000458419,0,0
288.156,2.18145e-05,-0.000458419,0,0
288.176,2.1815e-05,-0.000458419,0,0
288.196,2.18324e-05,-0.000458419,0,0
288.216,2.18329e-05,-0.000458419,0,0
288.236,2.18508e-05,-0.000458419,0,0
288.256,2.18508e-05,-0.000458419,0,0
288.276,2.18687e-05,-0.00045842,0,0
288.297,2.18687e-05,-0.00045842,0,0
288.317,2.18872e-05,-0.00045842,0,0
288.337,2.18876e-05,-0.00045842,0,0
288.357,2.19127e-05,-0.00045842,0,0
288.377,2.19212e-05,-0.00045842,0,0
288.397,2.19217e-05,-0.00045842,0,0
288.417,2.19217e-05,-0.00045842,0,0
288.437,2.19468e-05,-0.00045842,0,0
288.457,2.19473e-05,-0.00045842,0,0
288.477,2.19648e-05,-0.00045842,0,0
288.497,2.19653e-05,-0.00045842,0,0
288.517,2.19828e-05,-0.00045842,0,0
288.537,2.19914e-05,-0.00045842,0,0
288.557,2.19914e-05,-0.00045842,0,0
288.577,2.2018e-05,-0.00045842,0,0
288.597,2.20189e-05,-0.00045842,0,0
288.617,2.20361e-05,-0.00045842,0,0
288.637,2.2037e-05,-0.00045842,0,0
288.657,2.2037e-05,-0.00045842,0,0
288.677,2.20622e-05,-0.000458421,0,0
288.697,2.20627e-05,-0.000458421,0,0
288.717,2.20799e-05,-0.000458421,0,0
288.737,2.20889e-05,-0.000458421,0,0
288.757,2.20894e-05,-0.000458421,0,0
288.777,2.2107e-05,-0.000458421,0,0
288.797,2.21075e-05,-0.000458421,0,0
288.817,2.21252e-05,-0.000458421,0,0
288.837,2.21256e-05,-0.000458421,0,0
288.857,2.21514e-05,-0.000458421,0,0
288.877,2.21557e-05,-0.000458421,0,0
288.897,2.21557e-05,-0.000458421,0,0
288.917,2.21778e-05,-0.000458421,0,0
288.937,2.21782e-05,-0.000458421,0,0
288.957,2.21782e-05,-0.000458421,0,0
288.977,2.22041e-05,-0.000458421,0,0
288.997,2.22046e-05,-0.000458421,0,0
289.017,2.22223e-05,-0.000458421,0,0
289.037,2.22228e-05,-0.000458421,0,0
289.057,2.22405e-05,-0.000458422,0,0
289.077,2.2241e-05,-0.000458422,0,0
289.097,2.22583e-05,-0.000458422,0,0
289.117,2.22674e-05,-0.000458422,0,0
289.137,2.22674e-05,-0.000458422,0,0
289.157,2.22929e-05,-0.000458422,0,0
289.177,2.22934e-05,-0.000458422,0,0
289.197,2.22934e-05,-0.000458422,0,0
289.217,2.23188e-05,-0.000458422,0,0
289.237,2.23188e-05,-0.000458422,0,0
289.257,2.23381e-05,-0.000458422,0,0
289.277,2.23386e-05,-0.000458422,0,0
289.297,2.23564e-05,-0.000458422,0,0
289.317,2.23569e-05,-0.000458422,0,0
289.337,2.23747e-05,-0.000458422,0,0
289.357,2.23752e-05,-0.000458422,0,0
289.377,2.23926e-05,-0.000458422,0,0
289.397,2.24018e-05,-0.000458422,0,0
289.418,2.24192e-05,-0.000458422,0,0
289.438,2.24279e-05,-0.000458422,0,0
289.458,2.24283e-05,-0.000458422,0,0
289.478,2.24458e-05,-0.000458423,0,0
289.498,2.2455e-05,-0.000458423,0,0
289.518,2.24554e-05,-0.000458423,0,0
289.538,2.24733e-05,-0.000458423,0,0
289.558,2.24738e-05,-0.000458423,0,0
289.578,2.24918e-05,-0.000458423,0,0
289.598,2.24922e-05,-0.000458423,0,0
289.618,2.25102e-05,-0.000458423,0,0
289.638,2.25107e-05,-0.000458423,0,0
289.658,2.25364e-05,-0.000458423,0,0
289.678,2.25451e-05,-0.000458423,0,0
289.697,2.25451e-05,-0.000458423,0,0
289.718,2.25626e-05,-0.000458423,0,0
289.738,2.25709e-05,-0.000458423,0,0
289.758,2.25709e-05,-0.000458423,0,0
289.778,2.25899e-05,-0.000458423,0,0
289.798,2.25903e-05,-0.000458423,0,0
289.818,2.26083e-05,-0.000458423,0,0
289.838,2.26088e-05,-0.000458423,0,0
289.858,2.26269e-05,-0.000458423,0,0
289.878,2.26273e-05,-0.000458424,0,0
289.898,2.26454e-05,-0.000458424,0,0
289.918,2.26459e-05,-0.000458424,0,0
289.938,2.26717e-05,-0.000458424,0,0
289.958,2.26722e-05,-0.000458424,0,0
289.978,2.26722e-05,-0.000458424,0,0
289.998,2.26986e-05,-0.000458424,0,0
290.018,2.26991e-05,-0.000458424,0,0
290.038,2.27172e-05,-0.000458424,0,0
290.058,2.27176e-05,-0.000458424,0,0
290.078,2.27176e-05,-0.000458424,0,0
290.098,2.27441e-05,-0.000458424,0,0
290.118,2.27445e-05,-0.000458424,0,0
290.138,2.27666e-05,-0.000458424,0,0
290.158,2.27666e-05,-0.000458424,0,0
290.178,2.27891e-05,-0.000458424,0,0
290.198,2.27896e-05,-0.000458424,0,0
290.218,2.28073e-05,-0.000458424,0,0
290.238,2.28161e-05,-0.000458424,0,0
290.258,2.28166e-05,-0.000458424,0,0
290.278,2.28348e-05,-0.000458425,0,0
290.298,2.28431e-05,-0.000458425,0,0
290.318,2.28436e-05,-0.000458425,0,0
290.338,2.28613e-05,-0.000458425,0,0
290.358,2.28697e-05,-0.000458425,0,0
290.378,2.28879e-05,-0.000458425,0,0
290.398,2.28883e-05,-0.000458425,0,0
290.418,2.29061e-05,-0.000458425,0,0
290.438,2.29144e-05,-0.000458425,0,0
290.458,2.29144e-05,-0.000458425,0,0
290.478,2.29332e-05,-0.000458425,0,0
290.498,2.29332e-05,-0.000458425,0,0
290.518,2.29519e-05,-0.000458425,0,0
290.538,2.29519e-05,-0.000458425,0,0
290.558,2.29707e-05,-0.000458425,0,0
290.578,2.29707e-05,-0.000458425,0,0
290.603,2.29894e-05,-0.000458425,0,0
290.618,2.29894e-05,-0.000458425,0.00747571,3.20664e-05
290.638,6.54139e-05,-0.000419002,0.0173785,0.000173765
290.658,6.89028e-05,-0.00041437,0.0272328,0.000427725
290.678,0.000329383,0.000119886,0.0372222,0.000799822
290.698,0.000329383,0.000119886,0.0470177,0.00127689
290.718,0.000853289,0.000923935,0.0570101,0.0018777
290.738,0.000889339,0.000942956,0.0670094,0.00259355
290.758,0.000889339,0.000942956,0.0768119,0.00340831
290.778,0.00597806,0.00171764,0.0867221,0.00434658
290.798,0.00614174,0.00173105,0.0967203,0.00540878
290.818,0.0137514,0.00248192,0.106408,0.00654929
290.838,0.0139894,0.00251855,0.116366,0.00783808
290.858,0.0250341,0.00520095,0.126158,0.00922054
290.878,0.0254494,0.00533319,0.136,0.0107254
290.898,0.0476142,0.0136709,0.146084,0.0123863
290.918,0.0476142,0.0136709,0.155981,0.014132
290.938,0.0676043,0.0220003,0.165842,0.015988
290.958,0.0676043,0.0220003,0.17563,0.0179465
290.978,0.0875489,0.0312203,0.185344,0.0200063
290.998,0.0875489,0.0312203,0.195248,0.022226
291.018,0.107291,0.0412088,0.205012,0.0245392
291.038,0.107291,0.0412088,0.214872,0.02701
291.058,0.134594,0.0561636,0.224625,0.0295879
291.078,0.135557,0.0566685,0.234226,0.0322574
291.098,0.152521,0.0647388,0.243791,0.0350475
291.118,0.160774,0.0686286,0.253437,0.0379951
291.138,0.161228,0.0688415,0.262811,0.0409905
291.158,0.177356,0.0763057,0.272298,0.0441564
291.178,0.185785,0.0801251,0.28176,0.0474479
291.198,0.186228,0.0803243,0.291092,0.0508295
291.218,0.202632,0.0875887,0.300476,0.0543592
291.238,0.203079,0.0877853,0.309761,0.0579729
291.258,0.21992,0.0952618,0.31889,0.0616471
291.278,0.220378,0.0954646,0.328055,0.0654571
291.298,0.236873,0.10273,0.337341,0.0694432
291.318,0.242842,0.105347,0.346379,0.0734469
291.338,0.261793,0.113645,0.355504,0.0776149
291.358,0.262258,0.113849,0.364593,0.0818933
291.378,0.262258,0.113849,0.373604,0.0862608
291.398,0.287264,0.124889,0.382679,0.0907885
291.418,0.287743,0.125103,0.391508,0.0953288
291.438,0.305965,0.134237,0.400345,0.100016
291.458,0.306471,0.134526,0.40909,0.1048
291.478,0.32537,0.145807,0.417795,0.109709
291.498,0.325888,0.14612,0.426493,0.114761
291.518,0.345294,0.157951,0.43506,0.119885
291.538,0.345825,0.158277,0.443623,0.125159
291.558,0.365697,0.170548,0.452037,0.130491
291.578,0.366239,0.170885,0.46023,0.13583
291.598,0.395295,0.188999,0.46848,0.141358
291.618,0.395847,0.189344,0.476681,0.146999
291.638,0.415632,0.201644,0.48501,0.152871
291.658,0.425434,0.207685,0.493286,0.158848
291.678,0.425977,0.208018,0.50124,0.164731
291.698,0.445977,0.220223,0.509071,0.170664
291.718,0.446515,0.220549,0.517074,0.176875
291.738,0.466401,0.23257,0.525046,0.18321
291.758,0.467476,0.233218,0.532774,0.189494
291.778,0.489531,0.246517,0.540422,0.195861
291.798,0.49007,0.246843,0.54807,0.202378
291.818,0.510626,0.259325,0.555657,0.208984
291.838,0.510626,0.259325,0.56317,0.215662
291.858,0.532114,0.27275,0.570616,0.222417
291.878,0.532645,0.273095,0.577994,0.229245
291.898,0.552231,0.286241,0.585175,0.236026
291.918,0.552759,0.286608,0.592401,0.242986
291.938,0.572235,0.300618,0.599461,0.249925
291.958,0.57276,0.301009,0.606461,0.256947
291.978,0.592151,0.31601,0.613338,0.263987
291.998,0.592675,0.31643,0.62023,0.271185
292.018,0.613571,0.333874,0.627108,0.278509
292.038,0.613571,0.333874,0.633859,0.285819
292.058,0.632991,0.351377,0.640579,0.293228
292.078,0.632991,0.351377,0.647283,0.30075
292.098,0.659943,0.377777,0.653978,0.308393
292.118,0.660443,0.378288,0.660566,0.316049
292.138,0.678294,0.396955,0.666998,0.323657
292.158,0.686574,0.405293,0.673357,0.331316
292.178,0.687058,0.405768,0.679655,0.339034
292.198,0.704659,0.421696,0.685946,0.346885
292.218,0.70513,0.422073,0.692152,0.354758
292.238,0.724773,0.433872,0.698376,0.362773
